"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","25","0","1","0.000000","0","0"
"/Landmass/Landscape/BlueprintBrushes/Materials/Internal/BrushBounds.BrushBounds","0","5","5","1","22.435286","0","5"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","80","84","1","0.000000","0","84"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","54","58","1","0.000000","0","58"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","49","54","6","0.000000","0","59"
"/Engine/EditorLandscapeResources/LandscapeLayerUsageMaterial.LandscapeLayerUsageMaterial","0","2","2","1","0.000000","0","2"
"/Water/Materials/PostProcessing/M_UnderWater_PostProcess_Volume.M_UnderWater_PostProcess_Volume","0","13","14","1","22.480583","0","14"
"/Water/Materials/WaterSurface/Water_Material.Water_Material","0","585","627","3","4490.036133","0","627"
"/Landmass/Landscape/BlueprintBrushes/Materials/Sprite/M_BrushSprite_01.M_BrushSprite_01","0","15","17","1","36.601326","0","17"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","102","102","1","0.000000","0","102"
"/Engine/EditorLandscapeResources/MaskBrushMaterial.MaskBrushMaterial","0","5","5","1","0.000000","0","10"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","14","14","1","0.000000","0","14"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","54","60","3","23.893742","0","60"
"/Engine/EditorLandscapeResources/SelectBrushMaterial.SelectBrushMaterial","0","10","10","2","0.000000","0","10"
"/Game/LANDSCAPE/Ocean/M_landscape_Ocean.M_landscape_Ocean","0","949","1023","13","640.021362","0","1023"
"/Game/Corals/TEXTURE_coral_level2/Coral_normal_/Staghorn_coral/H_SC_01V2.H_SC_01V2","0","12","12","1","23.421581","0","12"
"/Game/FirstPersonArms/Character/Materials/M_UE4Man_Body.M_UE4Man_Body","0","52","56","1","99.254059","0","56"
"/Engine/EditorResources/FieldNodes/_Resources/M_FieldRadiusPreview.M_FieldRadiusPreview","0","20","20","1","0.000000","0","20"
"/Game/Corals/TEXTURE_coral_level2/Coral_normal_/Elkhorn_coral/h_ec_02.h_ec_02","0","12","12","1","23.972536","0","12"
"/Game/StarterContent/Props/Materials/M_Chair.M_Chair","0","21","21","1","0.000000","0","21"
"/Game/Corals/TEXTURE_coral_level2/Coral_normal_/Staghorn_coral/H_SC_01.H_SC_01","0","12","12","1","14.886330","0","12"
"/Game/Corals/TEXTURE_coral_level2/Coral_normal_/pink_tipped_anemore/h_pta_01_pt.h_pta_01_pt","0","12","12","1","4.248622","0","12"
"/Game/Corals/TEXTURE_coral_level2/Coral_normal_/pink_tipped_anemore/h_pta_01.h_pta_01","0","12","12","1","0.000000","0","12"
"/Engine/VREditor/Devices/Vive/VivePreControllerMaterial.VivePreControllerMaterial","0","12","12","1","0.000000","0","12"
"/Game/Corals/TEXTURE_coral_level2/Coral_normal_/mushroom_coral/h_mc_02.h_mc_02","0","12","12","1","0.000000","0","12"
"/Game/StarterContent/Props/Materials/M_Frame.M_Frame","0","21","21","1","0.000000","0","21"
"/Game/Corals/TEXTURE_coral_level2/Coral_normal_/Lettuce_leaf_coral/h_llc_02v2.h_llc_02v2","0","12","12","1","0.000000","0","12"
